FriendlyName (required),CanBeObject (bool),QualifiedRuntimeTypeName,QualifiedSaveTypeName,Extension,AddToManagersMethod,AddManuallyUpdatedMethod,RemoveFromLayerMethod,LayeredAddToManagersMethod,MakeManuallyUpdatedMethod,ActivityMethod,CustomLoadMethod,Conversion (List<FlatRedBall.Glue.CodeGeneration.ConversionCodeGenInfo>),AfterCustomActivityMethod,DestroyMethod,RecycledDestroyMethod,SupportsMakeOneWay,ShouldBeDisposed,ExtraVariablesPattern,VariableDefinitions (List<FlatRedBall.Glue.Elements.VariableDefinition>),ShouldAttach,IsPositionedObject,AdjustRelativeZ,AttachToNullOnlyMethod,FindByNameSyntax,MustBeAddedToContentPipeline,CanBeCloned,CustomCloneMethod,HasCursorIsOn,HasVisibleProperty,PostInitializeCode,ContentImporter,ContentProcessor,CanIgnorePausing,DefaultPublic,SetFromOtherCode
Spline List (.splx),,QualifiedType = FlatRedBall.Math.Splines.SplineList,FlatRedBall.Content.Math.Splines.SplineSaveList,splx,,,,,,,,,,,,FALSE,,,,FALSE,,,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,FALSE,FALSE,,,,FALSE,,
Text (.txt),,QualifiedType = System.String,,txt,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,TRUE,TRUE,,,,FALSE,,
XML File (.xml),,,,xml,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
Texture (.bmp),,QualifiedType = Microsoft.Xna.Framework.Graphics.Texture2D,,bmp,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,TextureImporter,TextureProcessor,FALSE,,
Texture (.png),,QualifiedType = Microsoft.Xna.Framework.Graphics.Texture2D,,png,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,TextureImporter,TextureProcessor,FALSE,,
Texture (.jpg),,QualifiedType = Microsoft.Xna.Framework.Graphics.Texture2D,,jpg,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,TextureImporter,TextureProcessor,FALSE,,
Texture (.tga),,QualifiedType = Microsoft.Xna.Framework.Graphics.Texture2D,,tga,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,TextureImporter,TextureProcessor,FALSE,,
Texture (.gif),,QualifiedType = Microsoft.Xna.Framework.Graphics.Texture2D,,gif,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
Model (.x),,QualifiedType = Microsoft.Xna.Framework.Graphics.Model,,x,,,,,,,,,,,,FALSE,,,,FALSE,,,,,TRUE,FALSE,,FALSE,TRUE,,XImporter,ModelProcessor,FALSE,,
Model (.fbx),,QualifiedType = Microsoft.Xna.Framework.Graphics.Model,,fbx,,,,,,,,,,,,FALSE,,,,FALSE,,,,,TRUE,FALSE,,FALSE,TRUE,,FbxImporter,ModelProcessor,FALSE,,
Model (.wme),,QualifiedType = FlatRedBall.Content.Model.Helpers.CustomModel,,wme,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,TRUE,,,,FALSE,,
Animation 3D (.wam),,,,wam,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
Hierarchy 3D (.whe),,,,whe,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
Song (.wma),,QualifiedType = Microsoft.Xna.Framework.Media.Song,,wma,"FlatRedBall.Audio.AudioManager.StopAndDisposeCurrentSongIfNameDiffers(this.Name); FlatRedBall.Audio.AudioManager.PlaySong(this, false, ContentManagerName == ""Global"")",,,,,,,,,FlatRedBall.Audio.AudioManager.StopSong(),,FALSE,TRUE,,,FALSE,,,,,TRUE,FALSE,,FALSE,FALSE,,WmaImporter,SongProcessor,FALSE,,
Song (.mp3),,QualifiedType = Microsoft.Xna.Framework.Media.Song,,mp3,"FlatRedBall.Audio.AudioManager.StopAndDisposeCurrentSongIfNameDiffers(this.Name); FlatRedBall.Audio.AudioManager.PlaySong(this, false, ContentManagerName == ""Global"")",,,,,,,,,FlatRedBall.Audio.AudioManager.StopSong(),,FALSE,TRUE,,,FALSE,,,,,TRUE,FALSE,,FALSE,FALSE,,Mp3Importer,SongProcessor,FALSE,,
Song (.ogg),,QualifiedType = Microsoft.Xna.Framework.Media.Song,,ogg,"FlatRedBall.Audio.AudioManager.StopAndDisposeCurrentSongIfNameDiffers(this.Name); FlatRedBall.Audio.AudioManager.PlaySong(this, false, ContentManagerName == ""Global"")",,,,,,,,,FlatRedBall.Audio.AudioManager.StopSong(),,FALSE,TRUE,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
SoundEffect (.wav),,QualifiedType = Microsoft.Xna.Framework.Audio.SoundEffect,,wav,,,,,,,,"ToType = ""SoundEffectInstance"", ConversionPattern = ""{NEW} = {THIS}.CreateInstance()""",,,,FALSE,,,,FALSE,,,,,TRUE,FALSE,,FALSE,FALSE,,WavImporter,SoundEffectProcessor,FALSE,,
SoundEffect (.ogg),,QualifiedType = Microsoft.Xna.Framework.Audio.SoundEffect,,ogg,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
FontPattern (.fnt),,QualifiedType = FlatRedBall.Graphics.BitmapFont,,fnt,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
BitmapFont (.bmfc),,QualifiedType = FlatRedBall.Graphics.BitmapFont,,bmfc,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
SpriteFont (.spritefont),,,,spritefont,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FontDescriptionImporter,FontDescriptionProcessor,FALSE,,
Layer,TRUE,QualifiedType = FlatRedBall.Graphics.Layer,,,FlatRedBall.SpriteManager.AddLayer(this),,,,,,,,,FlatRedBall.SpriteManager.RemoveLayer(this),,FALSE,,,"Name=RelativeToCamera, DefaultValue=false, Type=bool",FALSE,,,,,FALSE,FALSE,,FALSE,TRUE,,,,FALSE,,
,,,,,,,,,,,,,,,,,,,"Name=SortType, DefaultValue=Z, Type=SortType",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Visible, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
AxisAlignedRectangle,TRUE,QualifiedType = FlatRedBall.Math.Geometry.AxisAlignedRectangle,,,FlatRedBall.Math.Geometry.ShapeManager.AddAxisAlignedRectangle(this),,mLayer.Remove(this),"FlatRedBall.Math.Geometry.ShapeManager.AddToLayer(this, mLayer)",,,,,,FlatRedBall.Math.Geometry.ShapeManager.Remove(this),FlatRedBall.Math.Geometry.ShapeManager.RemoveOneWay(this),FALSE,,float Width; float Height; bool Visible; float X; float Y; Color Color,"Name=X, Type=float, Category=Position, DefaultValue=0",TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,
,,,,,,,,,,,,,,,,,,,"Name=Y, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Z, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Width, Type=float, Category=Size",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Height, Type=float, Category=Size",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Visible, Category=Appearance, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Color, Category=Appearance, DefaultValue=White, Type=Color",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RepositionDirections, Category=Collision, DefaultValue=All, Type=RepositionDirections",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreParentPosition, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoresParentVisibility, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesPosition, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AxisAlignedCube,,QualifiedType = FlatRedBall.Math.Geometry.AxisAlignedCube,,,FlatRedBall.Math.Geometry.ShapeManager.AddAxisAlignedCube(this),,,"FlatRedBall.Math.Geometry.ShapeManager.AddToLayer(this, mLayer)",,,,,,FlatRedBall.Math.Geometry.ShapeManager.Remove(this),FlatRedBall.Math.Geometry.ShapeManager.RemoveOneWay(this),FALSE,,bool Visible;  float X; float Y;,,TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,FALSE,TRUE,,,,TRUE,TRUE,
Circle,TRUE,QualifiedType = FlatRedBall.Math.Geometry.Circle,,,FlatRedBall.Math.Geometry.ShapeManager.AddCircle(this),,mLayer.Remove(this),"FlatRedBall.Math.Geometry.ShapeManager.AddToLayer(this, mLayer)",,,,,,FlatRedBall.Math.Geometry.ShapeManager.Remove(this),FlatRedBall.Math.Geometry.ShapeManager.RemoveOneWay(this),FALSE,,bool Visible; float X; float Y; float Radius; Color Color;,"Name=X, Type=float, Category=Position, DefaultValue=0",TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,
,,,,,,,,,,,,,,,,,,,"Name=Y, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Z, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Radius, Category=Size, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Visible, Category=Appearance, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Color, Category=Appearance, DefaultValue=White, Type=Color",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreParentPosition, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoresParentVisibility, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesPosition, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
Line,,QualifiedType = FlatRedBall.Math.Geometry.Line,,,FlatRedBall.Math.Geometry.ShapeManager.AddLine(this),,,"FlatRedBall.Math.Geometry.ShapeManager.AddToLayer(this, mLayer)",,,,,,FlatRedBall.Math.Geometry.ShapeManager.Remove(this),FlatRedBall.Math.Geometry.ShapeManager.RemoveOneWay(this),FALSE,,bool Visible,,TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,FALSE,TRUE,,,,TRUE,TRUE,
Polygon,TRUE,QualifiedType = FlatRedBall.Math.Geometry.Polygon,,,FlatRedBall.Math.Geometry.ShapeManager.AddPolygon(this),,mLayer.Remove(this),"FlatRedBall.Math.Geometry.ShapeManager.AddToLayer(this, mLayer)",,,,,,FlatRedBall.Math.Geometry.ShapeManager.Remove(this),FlatRedBall.Math.Geometry.ShapeManager.RemoveOneWay(this),FALSE,,bool Visible,"Name=X, Type=float, Category=Position, DefaultValue=0",TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,
,,,,,,,,,,,,,,,,,,,"Name=Y, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Z, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationZ, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Visible, Category=Appearance, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Color, Category=Appearance, DefaultValue=White, Type=Color",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreParentPosition, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesPosition, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesRotation, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
Sphere,,QualifiedType = FlatRedBall.Math.Geometry.Sphere,,,FlatRedBall.Math.Geometry.ShapeManager.AddSphere(this),,,"FlatRedBall.Math.Geometry.ShapeManager.AddToLayer(this, mLayer)",,,,,,FlatRedBall.Math.Geometry.ShapeManager.Remove(this),FlatRedBall.Math.Geometry.ShapeManager.RemoveOneWay(this),FALSE,,bool Visible,,TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,
PositionedObjectList (Generic),TRUE,QualifiedType = FlatRedBall.Math.PositionedObjectList<T>,,,,,,,,,,,,,,TRUE,,,,FALSE,,,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,FALSE,FALSE,,,,TRUE,,
Sprite,TRUE,QualifiedType = FlatRedBall.Sprite,FlatRedBall.Content.Scene.SpriteSave,,FlatRedBall.SpriteManager.AddSprite(this),"FlatRedBall.SpriteManager.AddManualSprite({THIS}, {LAYER})",mLayer.Remove(this),"FlatRedBall.SpriteManager.AddToLayer(this, mLayer)",FlatRedBall.SpriteManager.ConvertToManuallyUpdated(this),,,,,FlatRedBall.SpriteManager.RemoveSprite(this),FlatRedBall.SpriteManager.RemoveSpriteOneWay(this),FALSE,,float Width; float Height; float X; float Y; float Z; float TextureScale; Texture2D Texture; AnimationChainList AnimationChains;,"Name=X, Type=float, Category=Position, DefaultValue=0",TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,
,,,,,FlatRedBall.SpriteManager.AddZBufferedSprite(this),,,"FlatRedBall.SpriteManager.AddToLayerZBuffered(this, mLayer)",,,,,,,,,,,"Name=Y, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Z, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Texture, Category=Texture, Type=Texture2D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=FlipHorizontal, Category=Texture, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=FlipVertical, Category=Texture, Type = bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=LeftTexturePixel, Category=Texture, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RightTexturePixel, Category=Texture, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=TopTexturePixel, Category=Texture, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=BottomTexturePixel, Category=Texture, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=TextureAddressMode, Category=Texture, DefaultValue=Clamp, Type=TextureAddressMode",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=TextureScale, Category=Size, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Width, Category=Size, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Height, Category=Size, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=UseAnimationRelativePosition, Category=Animation, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Animate, Category=Animation, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=AnimationChains, Category=Animation, Type=AnimationChainList",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=CurrentChainName, Category=Animation, Type=string",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=CurrentFrameIndex, Category=Animation, DefaultValue=0, Type=int",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=AnimationSpeed, Category=Animation, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreAnimationChainTextureFlip, Category=Animation, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Visible, Category=Appearance, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ColorOperation, Category=Appearance, DefaultValue=Texture, Type=ColorOperation",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Red, Category=Appearance, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Green, Category=Appearance, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Blue, Category=Appearance, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=BlendOperation, Category=Appearance, DefaultValue=Regular, Type=BlendOperation",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Alpha, Category=Appearance, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationX, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationY, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationZ, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreParentPosition, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoresParentVisibility, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesPosition, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesRotation, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PositionedObject,TRUE,QualifiedType = FlatRedBall.PositionedObject,,,FlatRedBall.SpriteManager.AddPositionedObject(this),,,,FlatRedBall.SpriteManager.ConvertToManuallyUpdated(this),,,,,FlatRedBall.SpriteManager.RemovePositionedObject(this),FlatRedBall.SpriteManager.ConvertToManuallyUpdated(this),FALSE,,float X; float Y; float Z;,,TRUE,TRUE,this.RelativeZ += value,,,FALSE,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpriteChain,,QualifiedType = FlatRedBall.ManagedSpriteGroups.SpriteChain,,,,,,,,,,,,this.Destroy(),,FALSE,,,,,,,,,FALSE,FALSE,,FALSE,TRUE,,,,FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emitter,TRUE,QualifiedType = FlatRedBall.Graphics.Particle.Emitter,FlatRedBall.Content.Particle.EmitterSave,,FlatRedBall.SpriteManager.AddEmitter(this),,,"FlatRedBall.SpriteManager.AddEmitter(this, mLayer)",,,,,,FlatRedBall.SpriteManager.RemoveEmitterOneWay(this),FlatRedBall.SpriteManager.RemoveEmitterOneWay(this),FALSE,,float X; float Y; bool TimedEmission,,TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,FALSE,FALSE,,,,TRUE,,
SpriteFrame,TRUE,QualifiedType = FlatRedBall.ManagedSpriteGroups.SpriteFrame,,,FlatRedBall.SpriteManager.AddSpriteFrame(this),,mLayer.Remove(this),"FlatRedBall.SpriteManager.AddToLayer(this, mLayer)",FlatRedBall.SpriteManager.ConvertToManuallyUpdated(this),,,,,FlatRedBall.SpriteManager.RemoveSpriteFrame(this),,FALSE,,float Width; float Height; float X; float Y; float Z; Texture2D Texture,,TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,
,,,,,"FlatRedBall.SpriteManager.AddSpriteFrame(this); SpriteManager.AddToLayerZBuffered(this, null)",,,"FlatRedBall.SpriteManager.AddToLayerZBuffered(this, mLayer)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Text,TRUE,QualifiedType = FlatRedBall.Graphics.Text,,,FlatRedBall.Graphics.TextManager.AddText(this); if(this.Font != null) this.SetPixelPerfectScale(SpriteManager.Camera),"FlatRedBall.Graphics.TextManager.AddManuallyUpdated({THIS}, {LAYER})",mLayer.Remove(this),"FlatRedBall.Graphics.TextManager.AddToLayer(this, mLayer)",FlatRedBall.Graphics.TextManager.ConvertToManuallyUpdated(this),,,,,FlatRedBall.Graphics.TextManager.RemoveText(this),FlatRedBall.Graphics.TextManager.RemoveTextOneWay(this),FALSE,,string DisplayText; float X; float Y; float Z; float Scale; float Spacing; float NewLineDistance; BitmapFont Font;,"Name=DisplayText, Category=Text, Type=string",TRUE,TRUE,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,"Name=Font, Category=Text, DefaultValue=Default, Type=BitmapFont",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=HorizontalAlignment, Category=Text, DefaultValue=Left, Type=HorizontalAlignment",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=VerticalAlignment, Category=Text, DefaultValue=Center, Type=VerticalAlignment",,,,,,,,,,,,,,,,
